structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Nucleus x,0.0,0.0,0.0,0.0264399999999999,0.026194,0.052634,0.0,0.0
Nucleus y,1.0,1.0,2.0,0.013085,0.0127549999999999,0.02584,76.42338555598013,78.40062720501825
Oculomotor nucleus,1.0,0.0,1.0,0.0186099999999999,0.018756,0.0373659999999999,53.73455131649679,0.0
Olfactory areas,9.0,3.0,12.0,1.735169,1.58056,3.315729,5.186814656094017,1.8980614465758971
Olfactory tubercle,0.0,0.0,0.0,2.073475,2.030865,4.10434,0.0,0.0
Olivary pretectal nucleus,0.0,0.0,0.0,0.038453,0.0341799999999999,0.072633,0.0,0.0
"Orbital area, lateral part, layer 1",0.0,0.0,0.0,0.1664439999999999,0.154921,0.321365,0.0,0.0
"Orbital area, lateral part, layer 2/3",3.0,1.0,4.0,0.303591,0.287821,0.591412,9.881715861142128,3.474381646926388
"Orbital area, lateral part, layer 5",7.0,4.0,11.0,0.599764,0.570539,1.170303,11.67125736122875,7.010914240744278
"Orbital area, lateral part, layer 6a",1.0,0.0,1.0,0.2388469999999999,0.229182,0.468029,4.186780658748071,0.0
"Orbital area, lateral part, layer 6b",0.0,0.0,0.0,0.0244999999999999,0.023507,0.0480069999999999,0.0,0.0
"Orbital area, medial part, layer 1",0.0,0.0,0.0,0.1669439999999999,0.1867889999999999,0.3537329999999999,0.0,0.0
"Orbital area, medial part, layer 2/3",0.0,0.0,0.0,0.125516,0.131887,0.257403,0.0,0.0
"Orbital area, medial part, layer 5",0.0,0.0,0.0,0.195492,0.202281,0.397773,0.0,0.0
"Orbital area, medial part, layer 6a",3.0,0.0,3.0,0.091779,0.0863039999999999,0.178083,32.68721602981074,0.0
"Orbital area, medial part, layer 6b",0.0,0.0,0.0,0.002092,0.001767,0.003859,0.0,0.0
"Orbital area, ventrolateral part, layer 1",1.0,0.0,1.0,0.1588409999999999,0.157748,0.316589,6.295603779880514,0.0
"Orbital area, ventrolateral part, layer 2/3",7.0,0.0,7.0,0.221484,0.2182849999999999,0.4397689999999999,31.60499178270214,0.0
"Orbital area, ventrolateral part, layer 5",4.0,3.0,7.0,0.282673,0.26952,0.5521929999999999,14.150626342098466,11.130899376669635
"Orbital area, ventrolateral part, layer 6a",1.0,1.0,2.0,0.1229249999999999,0.108925,0.23185,8.135041692088679,9.180628873077806
"Orbital area, ventrolateral part, layer 6b",0.0,0.0,0.0,0.0056409999999999,0.0046689999999999,0.01031,0.0,0.0
